title,artist,genre,year,bpm,dB,duration,popularity
Hall of Fame,The Script,celtic rock,2013,85,-4,203,80
Roar,Katy Perry,dance pop,2013,180,-5,224,78
We Can't Stop,Miley Cyrus,dance pop,2013,80,-6,231,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,-3,213,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,-9,248,77
Wrecking Ball,Miley Cyrus,dance pop,2013,120,-6,221,77
Impossible,James Arthur,pop,2013,170,-5,209,77
Blurred Lines,Robin Thicke,dance pop,2013,120,-5,264,76
Heart Attack,Demi Lovato,dance pop,2013,174,-5,211,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,-6,193,75
Die Young,Kesha,dance pop,2013,128,-5,212,75
Clarity,Zedd,complextro,2013,128,-3,271,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,-6,215,74
Under Control,Calvin Harris,dance pop,2013,126,-3,184,74
Everybody Talks,Neon Trees,indie pop,2013,155,-4,177,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,-7,228,73
Best Song Ever,One Direction,boy band,2013,118,-3,200,73
Kiss You,One Direction,boy band,2013,90,-3,183,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,-4,213,72
Lose Yourself to Dance,Daft Punk,electro,2013,100,-8,354,72
Work Bitch,Britney Spears,dance pop,2013,128,-7,248,71
Brave,Sara Bareilles,acoustic pop,2013,185,-4,221,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,-4,258,70
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,-4,230,70
Beneath Your Beautiful,Labrinth,pop,2013,84,-6,272,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,-7,252,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,-7,236,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,-6,215,69
The Way,Ariana Grande,dance pop,2013,82,-3,227,68
Suit & Tie,Justin Timberlake,dance pop,2013,102,-4,326,68
#thatPOWER,will.i.am,dance pop,2013,128,-6,280,68
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,-3,157,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,-3,209,67
Daylight,Maroon 5,pop,2013,120,-5,225,66
Love Somebody,Maroon 5,pop,2013,120,-6,230,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,-6,241,65
Move,Little Mix,dance pop,2013,121,-5,224,63
Walks Like Rihanna,The Wanted,boy band,2013,126,-3,202,62
Rock N Roll,Avril Lavigne,canadian pop,2013,184,-3,207,61
Heartbreaker,Justin Bieber,canadian pop,2013,105,-7,263,61
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,-6,277,60
Next To Me,Emeli Sandé,dance pop,2013,95,-5,197,60
Made In The USA,Demi Lovato,dance pop,2013,87,-4,196,60
Clown,Emeli Sandé,dance pop,2013,130,-8,221,60
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,-6,271,59
TKO,Justin Timberlake,dance pop,2013,138,-7,424,58
Come & Get It,Selena Gomez,dance pop,2013,80,-4,232,57
Live It Up,Jennifer Lopez,dance pop,2013,128,-5,244,57
We Own The Night,The Wanted,boy band,2013,104,-4,206,56
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,136,-8,236,55
What About Love,Austin Mahone,dance pop,2013,100,-7,203,54
Take Back the Night,Justin Timberlake,dance pop,2013,107,-5,353,54
Applause,Lady Gaga,dance pop,2013,140,-4,212,52
Anything Could Happen,Ellie Goulding,dance pop,2013,103,-4,286,52
Finally Found You,Enrique Iglesias,dance pop,2013,128,-5,221,52
Pom Poms,Jonas Brothers,boy band,2013,148,-2,198,52
#Beautiful,Mariah Carey,dance pop,2013,107,-5,200,51
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,-3,211,50
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,-4,229,46
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,-5,257,45
People Like Us,Kelly Clarkson,dance pop,2013,128,-5,259,45
Overdose,Ciara,dance pop,2013,107,-6,227,43
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,-6,186,42
Give It 2 U,Robin Thicke,dance pop,2013,127,-4,230,41
Foolish Games,Jewel,alaska indie,2013,132,-11,250,36
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,-4,207,35
Freak,Kelly Rowland,atl hip hop,2013,104,-5,274,28
All of Me,John Legend,neo mellow,2014,120,-7,270,86
Stay With Me,Sam Smith,pop,2014,84,-6,173,85
Summer,Calvin Harris,dance pop,2014,128,-4,223,80
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,-5,233,79
Rude,MAGIC!,pop,2014,144,-5,225,79
Shake It Off,Taylor Swift,pop,2014,160,-5,219,78
Dark Horse,Katy Perry,dance pop,2014,132,-6,216,78
Hey Brother,Avicii,big room,2014,125,-5,255,78
Maps,Maroon 5,pop,2014,120,-6,190,78
Treasure,Bruno Mars,pop,2014,116,-5,179,77
Let Her Go,Passenger,folk-pop,2014,75,-7,253,77
Problem,Ariana Grande,dance pop,2014,103,-5,194,75
Pompeii,Bastille,metropopolis,2014,127,-6,214,73
Team,Lorde,art pop,2014,100,-7,193,73
Love Me Again,John Newman,pop,2014,126,-5,240,73
Latch,Disclosure,house,2014,122,-5,256,72
Adore You,Miley Cyrus,dance pop,2014,120,-5,279,72
Love Never Felt So Good,Michael Jackson,pop,2014,118,-6,246,71
Burn,Ellie Goulding,dance pop,2014,87,-5,231,71
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,-4,202,71
Fancy,Iggy Azalea,australian hip hop,2014,95,-4,200,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,-7,178,68
Gorilla,Bruno Mars,pop,2014,140,-7,244,68
human,Christina Perri,dance pop,2014,144,-6,251,68
Young Girls,Bruno Mars,pop,2014,126,-5,229,67
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,-7,193,67
Love Runs Out,OneRepublic,dance pop,2014,120,-4,225,66
This Is How We Do,Katy Perry,dance pop,2014,96,-6,204,66
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,-4,232,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,-6,241,65
#SELFIE,The Chainsmokers,electropop,2014,128,-3,184,65
Partition,Beyoncé,dance pop,2014,186,-12,319,65
Birthday,Katy Perry,dance pop,2014,126,-5,215,65
G.U.Y.,Lady Gaga,dance pop,2014,110,-3,233,65
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,-3,217,64
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,-6,226,63
Wings,Birdy,neo mellow,2014,83,-5,252,62
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,-4,207,62
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,-4,191,61
Say Something,A Great Big World,neo mellow,2014,138,-9,229,61
A Sky Full of Stars,Coldplay,permanent wave,2014,125,-6,268,60
Come Get It Bae,Pharrell Williams,dance pop,2014,120,-6,202,59
Chandelier,Sia,australian dance,2014,174,-3,216,56
XO,Beyoncé,dance pop,2014,170,-9,216,56
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,-4,222,56
Not About Angels,Birdy,neo mellow,2014,116,-10,190,56
Drunk in Love,Beyoncé,dance pop,2014,140,-7,323,52
Anaconda,Nicki Minaj,dance pop,2014,130,-6,260,50
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,-4,169,50
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,-5,198,50
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,-9,160,49
Words as Weapons,Birdy,neo mellow,2014,120,-9,239,44
You're Mine (Eternal),Mariah Carey,dance pop,2014,149,-7,224,38
Sheezus,Lily Allen,dance pop,2014,130,-7,235,37
Cannonball,Lea Michele,hollywood,2014,92,-3,215,37
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,-9,230,30
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,-6,207,28
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,-6,266,0
Thinking out Loud,Ed Sheeran,pop,2015,79,-6,282,84
I'm Not The Only One,Sam Smith,pop,2015,82,-6,239,84
The Hills,The Weeknd,canadian contemporary r&b,2015,113,-7,242,84
Love Yourself,Justin Bieber,canadian pop,2015,100,-10,234,83
Uptown Funk,Mark Ronson,dance pop,2015,115,-7,270,82
Take Me To Church,Hozier,irish singer-songwriter,2015,129,-5,242,81
Sugar,Maroon 5,pop,2015,120,-7,235,81
Sorry,Justin Bieber,canadian pop,2015,100,-4,201,81
FourFiveSeconds,Rihanna,barbadian pop,2015,206,-6,188,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,-7,253,79
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,-6,252,79
What Do You Mean?,Justin Bieber,canadian pop,2015,125,-8,206,79
Stitches,Shawn Mendes,canadian pop,2015,150,-7,207,78
Want to Want Me,Jason Derulo,dance pop,2015,114,-6,208,77
My House,Flo Rida,dance pop,2015,94,-5,192,77
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,-9,208,77
Night Changes,One Direction,boy band,2015,120,-8,227,77
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,-4,213,77
Never Forget You,Zara Larsson,dance pop,2015,146,-6,213,77
Love Me Harder,Ariana Grande,dance pop,2015,99,-4,236,76
Animals,Maroon 5,pop,2015,190,-6,231,76
Blame,Calvin Harris,dance pop,2015,128,-4,213,76
Worth It,Fifth Harmony,dance pop,2015,100,-4,225,75
Break Free,Ariana Grande,dance pop,2015,130,-5,215,75
Don't,Ed Sheeran,pop,2015,95,-7,220,74
Elastic Heart,Sia,australian dance,2015,130,-5,257,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,-7,228,73
Hello,Adele,british soul,2015,158,-6,295,73
Dear Future Husband,Meghan Trainor,dance pop,2015,79,-5,184,72
43776,Beyoncé,dance pop,2015,136,-5,214,72
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,-5,227,72
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,-4,193,72
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,-7,218,72
Company,Justin Bieber,canadian pop,2015,95,-5,208,72
Sing,Ed Sheeran,pop,2015,120,-4,235,71
Jealous - Remix,Nick Jonas,dance pop,2015,93,-4,222,70
Really Don't Care,Demi Lovato,dance pop,2015,121,-4,202,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,-4,293,70
