country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Philippines,141,138,149,99,92.3,82.9,57.9,58.7,69.4,49.7,48,44.7,46.5,59.7,61.4,55,40.7
Russia,0.145,0.113,0.107,0.14,0.224,0.285,0.41,0.559,0.729,0.535,0.539,0.612,0.439,,,,
Rwanda,17600,18900,20800,12000,6470,24700,19500,20900,18200,11800,,11700,12200,13500,14200,17700,15000
Sao Tome and Principe,,,,,,40600,36100,36000,34000,26900,31000,30900,35100,32400,35900,14700,4700
Saudi Arabia,96.4,59.5,115,105,56.2,103,112,108,207,65,31.8,14.4,11.9,7.67,5.35,4.49,5.29
Senegal,,,,,5110,6950,,9020,9680,11400,10800,8780,8820,12700,10400,11400,12900
Sierra Leone,,,,,,,172,4960,5830,9350,,9520,10300,10200,6600,4190,2800
Solomon Islands,37200,43800,46200,36900,37500,32800,22800,17800,18500,15600,16300,17900,17100,20200,19600,16200,15600
Somalia,,,,47.8,,,,,,132,147,143,1290,302,462,348,583
South Africa,18.6,12.5,7.46,33.6,25.4,21.1,63.8,53.5,60.1,115,142,57.6,33.6,28.6,28.2,16.2,25.1
South Korea,0,0,0,0.00226,0.0449,0.238,0.872,3.77,8.65,7.79,8.85,5.43,3.81,2.47,1.81,2.86,4.27
Sri Lanka,1680,2310,2280,1850,1530,787,1010,1190,1140,,1120,354,219,55.4,19.5,8.58,3.08
Sudan,29000,26100,34200,35300,29800,21500,15200,13100,15900,12900,13000,12400,10100,10500,7190,7730,5930
Suriname,400,368,344,,1140,1590,3970,2670,2900,3220,3010,3880,2950,3280,1820,1930,798
Syria,0.841,0.412,3.38,6.97,4.09,4.29,2.3,0.847,0.382,0.267,0.254,0.466,0.155,0.134,0.0707,0.148,0.175
Tajikistan,3.3,5.43,7.32,11,42.4,106,283,502,322,221,309,182,97.5,84.9,27.9,21.3,11.7
Tanzania,42000,33100,28200,31200,27500,8150,16200,3590,94600,1280,,935,1040,31100,31700,29700,26800
Thailand,505,361,303,205,180,144,151,166,220,209,135,104,72.2,60.1,42.7,47.3,47.8
Togo,20500,19200,15200,13200,7500,,7540,7570,7320,7900,7370,8950,10200,8300,8520,7020,8840
Turkey,15.1,20.9,31.4,78,137,131,95.4,54.6,55.8,31.2,16.8,15.6,14.6,13,7.34,2.81,1.04
Turkmenistan,0.0273,0.451,0.283,0.0751,0.22,0.238,0.328,0.323,3.12,1.1,0.533,0.11,0.173,0.149,0.063,0.0207,0
Uganda,,,12800,7400,10700,6740,,10300,12200,12800,,35300,37300,40500,42800,55300,42800
Uzbekistan,0.137,0.0571,0.116,0.164,0.0934,0.118,0.219,0.22,0.308,0.349,0.51,0.307,0.291,0.286,0.252,0.384,0.282
Vanuatu,19300,12700,8410,6410,2250,4830,3210,3400,3390,2770,3570,9750,17200,21000,18900,15000,9600
Venezuela,238,215,104,59.3,63.5,74.2,83.7,97.3,93.1,79.7,122,119,116,123,178,169,136
Vietnam,187,278,327,221,195,137,114,87,93.8,96.3,94,234,227,199,153,117,106
Yemen,92.5,98.5,216,220,250,3220,2590,8380,,15800,7670,575,970,878,774,951,931
Zambia,23800,28000,34500,39900,38900,29600,33900,,34000,33100,34500,36000,34600,39300,36200,35900,40500
Zimbabwe,6320,5390,3800,7750,2800,6460,14100,15200,13900,14400,12100,5330,10500,14100,13900,11400,11600
